         table_name         |          column_name           |        data_type         | is_nullable |                            column_default                            
 analytics_events           | anonymous_id                   | character varying        | YES         | 
 analytics_events           | ip_address                     | text                     | YES         | 
 analytics_events           | user_agent                     | text                     | YES         | 
 analytics_events           | referrer                       | character varying        | YES         | 
 analytics_events           | page_url                       | character varying        | YES         | 
 analytics_events           | properties                     | jsonb                    | NO          | '{}'::jsonb
 analytics_events           | value                          | double precision         | YES         | 
 analytics_events           | workspace_id                   | uuid                     | YES         | 
 analytics_events           | project_id                     | uuid                     | NO          | 
 analytics_events           | workflow_id                    | uuid                     | YES         | 
 analytics_events           | country                        | character varying        | YES         | 
 analytics_events           | region                         | character varying        | YES         | 
 analytics_events           | city                           | character varying        | YES         | 
 analytics_events           | timezone                       | character varying        | YES         | 
 analytics_events           | device_type                    | character varying        | YES         | 
 analytics_events           | os                             | character varying        | YES         | 
 analytics_events           | browser                        | character varying        | YES         | 
 analytics_events           | screen_resolution              | character varying        | YES         | 
 analytics_events           | timestamp                      | timestamp with time zone | NO          | now()
 analytics_events           | tenant_id                      | uuid                     | YES         | 
 analytics_events           | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 analytics_events           | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 analytics_exports          | id                             | uuid                     | NO          | 
 analytics_exports          | name                           | character varying        | NO          | 
 analytics_exports          | export_type                    | character varying        | NO          | 
 analytics_exports          | query                          | jsonb                    | NO          | 
 analytics_exports          | file_path                      | character varying        | YES         | 
 analytics_exports          | status                         | character varying        | NO          | 'pending'::character varying
 analytics_exports          | owner_id                       | uuid                     | NO          | 
 analytics_exports          | created_at                     | timestamp with time zone | NO          | now()
 analytics_exports          | completed_at                   | timestamp with time zone | YES         | 
 analytics_exports          | tenant_id                      | uuid                     | YES         | 
 analytics_exports          | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 analytics_metrics          | id                             | uuid                     | NO          | 
 analytics_metrics          | metric_name                    | character varying        | NO          | 
 analytics_metrics          | metric_value                   | numeric                  | NO          | 
 analytics_metrics          | dimensions                     | jsonb                    | NO          | '{}'::jsonb
 analytics_metrics          | timestamp                      | timestamp with time zone | NO          | now()
 analytics_metrics          | created_at                     | timestamp with time zone | NO          | now()
 analytics_metrics          | tenant_id                      | uuid                     | YES         | 
 analytics_metrics          | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 analytics_reports          | id                             | uuid                     | NO          | 
 analytics_reports          | name                           | character varying        | NO          | 
 analytics_reports          | description                    | text                     | YES         | 
 analytics_reports          | query                          | jsonb                    | NO          | 
 analytics_reports          | schedule                       | character varying        | YES         | 
 analytics_reports          | owner_id                       | uuid                     | NO          | 
 analytics_reports          | is_active                      | boolean                  | NO          | true
 analytics_reports          | created_at                     | timestamp with time zone | NO          | now()
 analytics_reports          | updated_at                     | timestamp with time zone | NO          | now()
 analytics_reports          | tenant_id                      | uuid                     | YES         | 
 audit_log                  | audit_id                       | uuid                     | NO          | gen_random_uuid()
 audit_log                  | table_name                     | text                     | NO          | 
 audit_log                  | record_id                      | uuid                     | NO          | 
 audit_log                  | changed_by                     | uuid                     | YES         | 
 audit_log                  | changed_at                     | timestamp with time zone | NO          | now()
 audit_log                  | operation                      | text                     | NO          | 
 audit_log                  | diffs                          | jsonb                    | YES         | 
 billing_events             | id                             | uuid                     | NO          | gen_random_uuid()
 billing_events             | user_id                        | uuid                     | NO          | 
 billing_events             | workspace_id                   | uuid                     | YES         | 
 billing_events             | event_type                     | character varying        | NO          | 
 billing_events             | amount_usd                     | double precision         | NO          | 
 billing_events             | description                    | text                     | YES         | 
 billing_events             | related_usage_log_id           | uuid                     | YES         | 
 billing_events             | related_message_id             | uuid                     | YES         | 
 billing_events             | invoice_id                     | character varying        | YES         | 
 billing_events             | payment_provider               | character varying        | YES         | 
 billing_events             | payment_transaction_id         | character varying        | YES         | 
 billing_events             | billing_metadata               | jsonb                    | YES         | 
 billing_events             | status                         | character varying        | YES         | 'pending'::character varying
 billing_events             | processed_at                   | timestamp with time zone | YES         | 
 billing_events             | created_at                     | timestamp with time zone | NO          | now()
 billing_events             | tenant_id                      | uuid                     | YES         | 
 billing_events             | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 business_metrics           | id                             | integer                  | NO          | nextval('synapscale_db.business_metrics_id_seq'::regclass)
 business_metrics           | date                           | timestamp with time zone | NO          | 
 business_metrics           | period_type                    | character varying        | NO          | 
 business_metrics           | total_users                    | integer                  | NO          | 
 business_metrics           | new_users                      | integer                  | NO          | 
 business_metrics           | active_users                   | integer                  | NO          | 
 business_metrics           | churned_users                  | integer                  | NO          | 
 business_metrics           | total_sessions                 | integer                  | NO          | 
 business_metrics           | avg_session_duration           | double precision         | NO          | 
 business_metrics           | total_page_views               | integer                  | NO          | 
 business_metrics           | bounce_rate                    | double precision         | NO          | 
 business_metrics           | workflows_created              | integer                  | NO          | 
 business_metrics           | workflows_executed             | integer                  | NO          | 
 business_metrics           | components_published           | integer                  | NO          | 
 business_metrics           | components_downloaded          | integer                  | NO          | 
 business_metrics           | workspaces_created             | integer                  | NO          | 
 business_metrics           | teams_formed                   | integer                  | NO          | 
 business_metrics           | collaborative_sessions         | integer                  | NO          | 
 business_metrics           | total_revenue                  | double precision         | NO          | 
 business_metrics           | recurring_revenue              | double precision         | NO          | 
 business_metrics           | marketplace_revenue            | double precision         | NO          | 
 business_metrics           | avg_revenue_per_user           | double precision         | NO          | 
 business_metrics           | error_rate                     | double precision         | NO          | 
 business_metrics           | avg_response_time              | double precision         | NO          | 
 business_metrics           | uptime_percentage              | double precision         | NO          | 
 business_metrics           | customer_satisfaction          | double precision         | NO          | 
 business_metrics           | created_at                     | timestamp with time zone | NO          | 
 business_metrics           | updated_at                     | timestamp with time zone | NO          | 
 business_metrics           | tenant_id                      | uuid                     | YES         | 
 campaign_contacts          | id                             | uuid                     | NO          | gen_random_uuid()
 campaign_contacts          | campaign_id                    | uuid                     | NO          | 
 campaign_contacts          | contact_id                     | uuid                     | NO          | 
 campaign_contacts          | status                         | character varying        | YES         | 'pending'::character varying
 campaign_contacts          | sent_at                        | timestamp with time zone | YES         | 
 campaign_contacts          | opened_at                      | timestamp with time zone | YES         | 
 campaign_contacts          | clicked_at                     | timestamp with time zone | YES         | 
 campaign_contacts          | bounced_at                     | timestamp with time zone | YES         | 
 campaign_contacts          | unsubscribed_at                | timestamp with time zone | YES         | 
 campaign_contacts          | error_message                  | text                     | YES         | 
 campaign_contacts          | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 campaign_contacts          | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 campaign_contacts          | tenant_id                      | uuid                     | YES         | 
 campaigns                  | id                             | uuid                     | NO          | gen_random_uuid()
 campaigns                  | tenant_id                      | uuid                     | NO          | 
 campaigns                  | name                           | character varying        | NO          | 
 campaigns                  | description                    | text                     | YES         | 
 campaigns                  | type                           | character varying        | NO          | 
 campaigns                  | status                         | character varying        | YES         | 'draft'::character varying
 campaigns                  | subject                        | character varying        | YES         | 
 campaigns                  | content                        | text                     | YES         | 
 campaigns                  | template_id                    | uuid                     | YES         | 
 campaigns                  | scheduled_at                   | timestamp with time zone | YES         | 
 campaigns                  | sent_at                        | timestamp with time zone | YES         | 
 campaigns                  | stats                          | jsonb                    | YES         | '{}'::jsonb
 campaigns                  | settings                       | jsonb                    | YES         | '{}'::jsonb
 campaigns                  | created_by                     | uuid                     | NO          | 
 campaigns                  | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 campaigns                  | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 component_downloads        | id                             | uuid                     | NO          | 
 component_downloads        | component_id                   | uuid                     | NO          | 
 component_downloads        | user_id                        | uuid                     | NO          | 
 component_downloads        | version                        | character varying        | NO          | 
 component_downloads        | download_type                  | character varying        | NO          | 
 component_downloads        | ip_address                     | character varying        | YES         | 
 component_downloads        | user_agent                     | character varying        | YES         | 
 component_downloads        | referrer                       | character varying        | YES         | 
 component_downloads        | status                         | character varying        | NO          | 
 component_downloads        | file_size                      | integer                  | YES         | 
 component_downloads        | created_at                     | timestamp with time zone | NO          | 
 component_downloads        | completed_at                   | timestamp with time zone | YES         | 
 component_downloads        | tenant_id                      | uuid                     | YES         | 
 component_downloads        | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 component_purchases        | id                             | uuid                     | NO          | 
 component_purchases        | component_id                   | uuid                     | NO          | 
 component_purchases        | user_id                        | uuid                     | NO          | 
 component_purchases        | amount                         | double precision         | NO          | 
 component_purchases        | currency                       | character varying        | NO          | 
 component_purchases        | payment_method                 | character varying        | YES         | 
 component_purchases        | transaction_id                 | character varying        | NO          | 
 component_purchases        | payment_provider               | character varying        | YES         | 
 component_purchases        | provider_transaction_id        | character varying        | YES         | 
 component_purchases        | status                         | character varying        | NO          | 
 component_purchases        | license_key                    | character varying        | YES         | 
 component_purchases        | license_expires_at             | timestamp with time zone | YES         | 
 component_purchases        | created_at                     | timestamp with time zone | NO          | 
 component_purchases        | completed_at                   | timestamp with time zone | YES         | 
 component_purchases        | refunded_at                    | timestamp with time zone | YES         | 
 component_purchases        | tenant_id                      | uuid                     | YES         | 
 component_purchases        | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 component_ratings          | id                             | uuid                     | NO          | 
 component_ratings          | component_id                   | uuid                     | NO          | 
 component_ratings          | user_id                        | uuid                     | NO          | 
 component_ratings          | rating                         | integer                  | NO          | 
 component_ratings          | title                          | character varying        | YES         | 
 component_ratings          | review                         | text                     | YES         | 
 component_ratings          | ease_of_use                    | integer                  | YES         | 
 component_ratings          | documentation_quality          | integer                  | YES         | 
 component_ratings          | performance                    | integer                  | YES         | 
 component_ratings          | reliability                    | integer                  | YES         | 
 component_ratings          | support_quality                | integer                  | YES         | 
 component_ratings          | version_used                   | character varying        | YES         | 
 component_ratings          | use_case                       | character varying        | YES         | 
 component_ratings          | experience_level               | character varying        | YES         | 
 component_ratings          | helpful_count                  | integer                  | NO          | 
 component_ratings          | reported_count                 | integer                  | NO          | 
 component_ratings          | is_verified_purchase           | boolean                  | NO          | 
 component_ratings          | is_featured                    | boolean                  | NO          | 
 component_ratings          | status                         | character varying        | NO          | 
 component_ratings          | created_at                     | timestamp with time zone | NO          | 
 component_ratings          | updated_at                     | timestamp with time zone | NO          | 
 component_ratings          | tenant_id                      | uuid                     | YES         | 
 component_versions         | id                             | uuid                     | NO          | 
 component_versions         | component_id                   | uuid                     | NO          | 
 component_versions         | version                        | character varying        | NO          | 
 component_versions         | is_latest                      | boolean                  | NO          | 
 component_versions         | is_stable                      | boolean                  | NO          | 
 component_versions         | changelog                      | text                     | YES         | 
 component_versions         | breaking_changes               | text                     | YES         | 
 component_versions         | migration_guide                | text                     | YES         | 
 component_versions         | component_data                 | jsonb                    | NO          | 
 component_versions         | file_size                      | integer                  | YES         | 
 component_versions         | min_platform_version           | character varying        | YES         | 
 component_versions         | max_platform_version           | character varying        | YES         | 
 component_versions         | dependencies                   | jsonb                    | YES         | 
 component_versions         | download_count                 | integer                  | NO          | 
 component_versions         | status                         | character varying        | NO          | 
 component_versions         | created_at                     | timestamp with time zone | NO          | 
 component_versions         | deprecated_at                  | timestamp with time zone | YES         | 
 component_versions         | tenant_id                      | uuid                     | YES         | 
 component_versions         | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_events             | id                             | uuid                     | NO          | gen_random_uuid()
 contact_events             | contact_id                     | uuid                     | NO          | 
 contact_events             | event_type                     | character varying        | NO          | 
 contact_events             | event_data                     | jsonb                    | YES         | '{}'::jsonb
 contact_events             | occurred_at                    | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_events             | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_events             | tenant_id                      | uuid                     | YES         | 
 contact_events             | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_interactions       | id                             | uuid                     | NO          | gen_random_uuid()
 contact_interactions       | contact_id                     | uuid                     | NO          | 
 contact_interactions       | user_id                        | uuid                     | YES         | 
 contact_interactions       | type                           | character varying        | NO          | 
 contact_interactions       | channel                        | character varying        | YES         | 
 contact_interactions       | subject                        | character varying        | YES         | 
 contact_interactions       | content                        | text                     | YES         | 
 contact_interactions       | direction                      | character varying        | YES         | 'outbound'::character varying
 contact_interactions       | status                         | character varying        | YES         | 'completed'::character varying
 contact_interactions       | scheduled_at                   | timestamp with time zone | YES         | 
 contact_interactions       | completed_at                   | timestamp with time zone | YES         | 
 contact_interactions       | metadata                       | jsonb                    | YES         | '{}'::jsonb
 contact_interactions       | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_interactions       | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_interactions       | tenant_id                      | uuid                     | YES         | 
 contact_list_memberships   | id                             | uuid                     | NO          | gen_random_uuid()
 contact_list_memberships   | list_id                        | uuid                     | NO          | 
 contact_list_memberships   | contact_id                     | uuid                     | NO          | 
 contact_list_memberships   | added_by                       | uuid                     | YES         | 
 contact_list_memberships   | added_at                       | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_list_memberships   | status                         | character varying        | YES         | 'active'::character varying
 contact_list_memberships   | tenant_id                      | uuid                     | YES         | 
 contact_list_memberships   | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_list_memberships   | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_lists              | id                             | uuid                     | NO          | gen_random_uuid()
 contact_lists              | tenant_id                      | uuid                     | NO          | 
 contact_lists              | name                           | character varying        | NO          | 
 contact_lists              | description                    | text                     | YES         | 
 contact_lists              | type                           | character varying        | YES         | 'static'::character varying
 contact_lists              | filters                        | jsonb                    | YES         | '{}'::jsonb
 contact_lists              | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_lists              | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_notes              | id                             | uuid                     | NO          | gen_random_uuid()
 contact_notes              | contact_id                     | uuid                     | NO          | 
 contact_notes              | user_id                        | uuid                     | NO          | 
 contact_notes              | content                        | text                     | NO          | 
 contact_notes              | type                           | character varying        | YES         | 'note'::character varying
 contact_notes              | is_private                     | boolean                  | YES         | false
 contact_notes              | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_notes              | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_notes              | tenant_id                      | uuid                     | YES         | 
 contact_sources            | id                             | uuid                     | NO          | gen_random_uuid()
 contact_sources            | tenant_id                      | uuid                     | NO          | 
 contact_sources            | name                           | character varying        | NO          | 
 contact_sources            | description                    | text                     | YES         | 
 contact_sources            | integration_type               | character varying        | YES         | 
 contact_sources            | config                         | jsonb                    | YES         | '{}'::jsonb
 contact_sources            | is_active                      | boolean                  | YES         | true
 contact_sources            | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_sources            | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_tags               | id                             | uuid                     | NO          | gen_random_uuid()
 contact_tags               | tenant_id                      | uuid                     | NO          | 
 contact_tags               | name                           | character varying        | NO          | 
 contact_tags               | color                          | character varying        | YES         | '#6B7280'::character varying
 contact_tags               | description                    | text                     | YES         | 
 contact_tags               | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contact_tags               | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contacts                   | id                             | uuid                     | NO          | gen_random_uuid()
 contacts                   | tenant_id                      | uuid                     | NO          | 
 contacts                   | email                          | character varying        | NO          | 
 contacts                   | first_name                     | character varying        | YES         | 
 contacts                   | last_name                      | character varying        | YES         | 
 contacts                   | phone                          | character varying        | YES         | 
 contacts                   | company                        | character varying        | YES         | 
 contacts                   | job_title                      | character varying        | YES         | 
 contacts                   | status                         | character varying        | YES         | 'active'::character varying
 contacts                   | lead_score                     | integer                  | YES         | 0
 contacts                   | source_id                      | uuid                     | YES         | 
 contacts                   | custom_fields                  | jsonb                    | YES         | '{}'::jsonb
 contacts                   | tags                           | ARRAY                    | YES         | 
 contacts                   | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 contacts                   | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 conversion_journeys        | id                             | uuid                     | NO          | gen_random_uuid()
 conversion_journeys        | contact_id                     | uuid                     | NO          | 
 conversion_journeys        | tenant_id                      | uuid                     | NO          | 
 conversion_journeys        | journey_name                   | character varying        | YES         | 
 conversion_journeys        | current_stage                  | character varying        | YES         | 
 conversion_journeys        | stages_completed               | jsonb                    | YES         | '[]'::jsonb
 conversion_journeys        | conversion_probability         | numeric                  | YES         | 
 conversion_journeys        | last_interaction_at            | timestamp with time zone | YES         | 
 conversion_journeys        | converted_at                   | timestamp with time zone | YES         | 
 conversion_journeys        | conversion_value               | numeric                  | YES         | 
 conversion_journeys        | metadata                       | jsonb                    | YES         | '{}'::jsonb
 conversion_journeys        | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 conversion_journeys        | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 coupons                    | id                             | uuid                     | NO          | gen_random_uuid()
 coupons                    | code                           | character varying        | NO          | 
 coupons                    | name                           | character varying        | YES         | 
 coupons                    | description                    | text                     | YES         | 
 coupons                    | type                           | character varying        | NO          | 'percentage'::character varying
 coupons                    | value                          | numeric                  | NO          | 
 coupons                    | currency                       | character varying        | YES         | 'USD'::character varying
 coupons                    | max_uses                       | integer                  | YES         | 
 coupons                    | used_count                     | integer                  | YES         | 0
 coupons                    | min_amount                     | numeric                  | YES         | 
 coupons                    | max_discount                   | numeric                  | YES         | 
 coupons                    | valid_from                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 coupons                    | valid_until                    | timestamp with time zone | YES         | 
 coupons                    | is_active                      | boolean                  | YES         | true
 coupons                    | is_stackable                   | boolean                  | YES         | false
 coupons                    | applicable_plans               | jsonb                    | YES         | '[]'::jsonb
 coupons                    | restrictions                   | jsonb                    | YES         | '{}'::jsonb
 coupons                    | metadata                       | jsonb                    | YES         | '{}'::jsonb
 coupons                    | created_by                     | uuid                     | YES         | 
 coupons                    | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 coupons                    | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 coupons                    | tenant_id                      | uuid                     | YES         | 
 custom_reports             | id                             | uuid                     | NO          | 
 custom_reports             | user_id                        | uuid                     | NO          | 
 custom_reports             | workspace_id                   | uuid                     | YES         | 
 custom_reports             | name                           | character varying        | NO          | 
 custom_reports             | description                    | text                     | YES         | 
 custom_reports             | category                       | character varying        | YES         | 
 custom_reports             | query_config                   | jsonb                    | NO          | 
 custom_reports             | visualization_config           | jsonb                    | YES         | 
 custom_reports             | filters                        | jsonb                    | YES         | 
 custom_reports             | is_scheduled                   | boolean                  | NO          | 
 custom_reports             | schedule_config                | jsonb                    | YES         | 
 custom_reports             | last_run_at                    | timestamp with time zone | YES         | 
 custom_reports             | next_run_at                    | timestamp with time zone | YES         | 
 custom_reports             | is_public                      | boolean                  | NO          | 
 custom_reports             | shared_with                    | jsonb                    | YES         | 
 custom_reports             | cached_data                    | jsonb                    | YES         | 
 custom_reports             | cache_expires_at               | timestamp with time zone | YES         | 
 custom_reports             | status                         | character varying        | NO          | 
 custom_reports             | created_at                     | timestamp with time zone | NO          | 
 custom_reports             | updated_at                     | timestamp with time zone | NO          | 
 custom_reports             | tenant_id                      | uuid                     | YES         | 
 email_verification_tokens  | id                             | uuid                     | NO          | 
 email_verification_tokens  | token                          | character varying        | NO          | 
 email_verification_tokens  | user_id                        | uuid                     | NO          | 
 email_verification_tokens  | expires_at                     | timestamp with time zone | NO          | 
 email_verification_tokens  | is_used                        | boolean                  | YES         | 
 email_verification_tokens  | created_at                     | timestamp with time zone | YES         | now()
 email_verification_tokens  | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 features                   | id                             | uuid                     | NO          | gen_random_uuid()
 features                   | key                            | character varying        | NO          | 
 features                   | name                           | character varying        | NO          | 
 features                   | description                    | text                     | YES         | 
 features                   | category                       | character varying        | YES         | 
 features                   | is_active                      | boolean                  | YES         | true
 features                   | created_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 features                   | updated_at                     | timestamp with time zone | YES         | CURRENT_TIMESTAMP
 files                      | id                             | uuid                     | NO          | 
 files                      | filename                       | character varying        | NO          | 
 files                      | original_name                  | character varying        | NO          | 
 files                      | file_path                      | character varying        | NO          | 
 files                      | file_size                      | integer                  | NO          | 
 files                      | mime_type                      | character varying        | NO          | 
 files                      | category                       | character varying        | NO          | 
 files                      | is_public                      | boolean                  | NO          | false
 files                      | user_id                        | uuid                     | NO          | 
 files                      | created_at                     | timestamp with time zone | NO          | now()
 files                      | updated_at                     | timestamp with time zone | NO          | now()
 files                      | tags                           | jsonb                    | YES         | 
 files                      | description                    | text                     | YES         | 
 files                      | tenant_id                      | uuid                     | YES         | 
 files                      | status                         | character varying        | YES         | 'active'::character varying
 files                      | scan_status                    | character varying        | YES         | 'pending'::character varying
 files                      | access_count                   | integer                  | YES         | 0
 files                      | last_accessed_at               | timestamp with time zone | YES         | 
 invoices                   | id                             | uuid                     | NO          | gen_random_uuid()
 invoices                   | tenant_id                      | uuid                     | NO          | 
 invoices                   | subscription_id                | uuid                     | YES         | 
 invoices                   | invoice_number                 | character varying        | NO          | 
 invoices                   | status                         | character varying        | NO          | 'draft'::character varying
 invoices                   | currency                       | character varying        | NO          | 'USD'::character varying
